cclasstrib;cst;descricao;versao_it;fonte
410001;410;Fornecimento de bonificações quando constem no documento fiscal e que não dependam de evento posterior;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410002;410;Transferências entre estabelecimentos pertencentes ao mesmo contribuinte;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410003;410;Doações sem contraprestação em benefício do doador;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410004;410;Exportações de bens e serviços;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410005;410;Fornecimentos realizados pela União, pelos Estados, pelo Distrito Federal e pelos Municípios;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410006;410;Fornecimentos realizados por entidades religiosas e templos de qualquer culto;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410007;410;Fornecimentos realizados por partidos políticos, entidades sindicais e instituições de educação e de assistência social;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410008;410;Fornecimentos de livros, jornais, periódicos e do papel destinado a sua impressão;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410009;410;Fornecimentos de fonogramas e videofonogramas musicais produzidos no Brasil;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410010;410;Fornecimentos de serviço de comunicação nas modalidades de radiodifusão sonora e de sons e imagens de recepção livre e gratuita;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410011;410;Fornecimentos de ouro, quando definido em lei como ativo financeiro ou instrumento cambial;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410012;410;Fornecimento de condomínio edilício não optante pelo regime regular;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410013;410;Exportações de combustíveis;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410014;410;Fornecimento de produtor rural não contribuinte;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410015;410;Fornecimento por transportador autônomo não contribuinte;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410016;410;Fornecimento ou aquisição de resíduos sólidos;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410017;410;Aquisição de bem móvel com crédito presumido sob condição de revenda realizada;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
410018;410;Operações relacionadas aos fundos garantidores e executores de políticas públicas;2025.002 (consultado ao vivo em 08/09/2026);oficial - Portal da Conformidade Fácil (SVRS)
